10101010;Mandela	 Nelson;Cerrajero;21-5-1995;Inactivo;1;10;12
20202020;Romero	 Jorge;Papá de los helados;5-12-1967;Activo;2;11;14
30303030;Muñoz	 Santiago Miguel;Cenizuo;15-8/-007;Activo;3;12;6
40404040;Hitler	 Adolf;Control de plagas;23-11-1999;Inactivo;4;13;8
50505050;Netanyahu	 Benjamin;Marketing;31-2-1996;Activo;5;14;16
60606060;Jamenei	 Ali;Guardia;19-4-2016;Inactivo;6;15;15
70707070;Chávez	 Hugo;Economista;30-12-1996;Inactivo;7;16;14
80808080;Gonzáles	 Daniel;Coordinardor de Guajiros;11-8-1967;Activo;8;17;16
90909090;Epstein	 Jeffrey;Recursos Humanos;3-24-2009;Activo;9;18;13
98765432;Radonski	 Capriles;Vocero;11-9-2001;Activo;10;19;19
